CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
26376000,HAYES ST,MASONIC AVE,,,,MASONIC AVE intersection,,16547
26376000,MASONIC AVE,HAYES ST,,,,HAYES ST intersection,,22471
26377000,MASONIC AVE,GROVE ST,,,,GROVE ST intersection,,22469
26377000,GROVE ST,MASONIC AVE,,,,MASONIC AVE intersection,,15881
26378000,ASHBURY ST,HAYES ST,,,,HAYES ST intersection,,5468
26378000,HAYES ST,ASHBURY ST,,,,ASHBURY ST intersection,,16549
26379000,MASONIC AVE,FULTON ST,,,,FULTON ST intersection,,22467
26379000,FULTON ST,MASONIC AVE,,,,MASONIC AVE intersection,,14096
26380000,GROVE ST,ASHBURY ST,,,,ASHBURY ST intersection,,15883
26380000,ASHBURY ST,GROVE ST,,,,GROVE ST intersection,,5466
26381000,FULTON ST,ATALAYA TER,,,,ATALAYA TER intersection,,14098
26381000,ATALAYA TER,FULTON ST,,,,FULTON ST intersection,,5518
26382000,MCALLISTER ST,MASONIC AVE,,,,MASONIC AVE intersection,,22601
26382000,MASONIC AVE,MCALLISTER ST,,,,MCALLISTER ST intersection,,22465
26383000,MASONIC AVE,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,22463
26383000,GOLDEN GATE AVE,MASONIC AVE,,,,MASONIC AVE intersection,,15181
26384000,GOLDEN GATE AVE,CENTRAL AVE,,,,CENTRAL AVE intersection,,15179
26384000,CENTRAL AVE,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,8961
26385000,ANZAVISTA AVE,ENCANTO AVE,,,,ENCANTO AVE intersection,,5159
26385000,ENCANTO AVE,ANZAVISTA AVE,,,,ANZAVISTA AVE intersection,,12469
26386000,BARCELONA AVE,TERRA VISTA AVE,,,,TERRA VISTA AVE intersection,,6118
26386000,TERRA VISTA AVE,BARCELONA AVE,,,,BARCELONA AVE intersection,,31698
26387000,TERRA VISTA AVE,ENCANTO AVE,,,,ENCANTO AVE intersection,,31696
26387000,ENCANTO AVE,TERRA VISTA AVE,,,,TERRA VISTA AVE intersection,,12471
26388000,ANZAVISTA AVE,BARCELONA AVE,,,,BARCELONA AVE intersection,,5163
26388000,BARCELONA AVE,ANZAVISTA AVE,,,,ANZAVISTA AVE intersection,,6116
26389000,ANZAVISTA AVE,TERRA VISTA AVE,,,,TERRA VISTA AVE intersection,,5167
26389000,TERRA VISTA AVE,ANZAVISTA AVE,,,,ANZAVISTA AVE intersection,,31700
26390000,CENTRAL AVE,TURK BLVD,,,,TURK BLVD intersection,,8963
26390000,TURK BLVD,CENTRAL AVE,,,,CENTRAL AVE intersection,,32214
26391000,GOLDEN GATE AVE,ANNAPOLIS TER,,,,ANNAPOLIS TER intersection,,15183
26391000,ANNAPOLIS TER,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,5007
26392000,TURK BLVD,MASONIC AVE,,,,MASONIC AVE intersection,,32218
26392000,MASONIC AVE,TURK BLVD,,,,TURK BLVD intersection,,22460
26393000,NIDO AVE,TURK BLVD,,,,TURK BLVD intersection,,24440
26393000,TURK BLVD,NIDO AVE,,,,NIDO AVE intersection,,32216
26394000,NIDO AVE,VEGA ST,,,,VEGA ST intersection,,24442
26394000,VEGA ST,NIDO AVE,,,,NIDO AVE intersection,,33328
26395000,ANNAPOLIS TER,TURK BLVD,,,,TURK BLVD intersection,,5005
26395000,TURK BLVD,ANNAPOLIS TER,,,,ANNAPOLIS TER intersection,,32220
26396000,MASONIC AVE,EWING TER,,,,EWING TER intersection,,22457
26396000,EWING TER,MASONIC AVE,,,,MASONIC AVE intersection,,12759
26397000,VEGA ST,ANZAVISTA AVE,,,,ANZAVISTA AVE intersection,,33326
26397000,ANZAVISTA AVE,VEGA ST,,,,VEGA ST intersection,,5165
26398000,ANZAVISTA AVE,OFARRELL ST,,,,OFARRELL ST intersection,,5169
26398000,OFARRELL ST,ANZAVISTA AVE,,,,ANZAVISTA AVE intersection,,25192
26399000,LYON ST,OFARRELL ST \ SONORA LN,,,,OFARRELL ST \ SONORA LN intersection,,21512
26399000,OFARRELL ST,LYON ST \ SONORA LN,,,,LYON ST \ SONORA LN intersection,,25190
26399000,SONORA LN,LYON ST \ OFARRELL ST,,,,LYON ST \ OFARRELL ST intersection,,30399
26400000,OFARRELL ST,ANZA ST \ MASONIC AVE,,,,ANZA ST \ MASONIC AVE intersection,,25194
26400000,MASONIC AVE,ANZA ST \ OFARRELL ST,,,,ANZA ST \ OFARRELL ST intersection,,22454
26400000,ANZA ST,MASONIC AVE \ OFARRELL ST,,,,MASONIC AVE \ OFARRELL ST intersection,,5035
26401000,PARNASSUS AVE,CLAYTON ST,,,,CLAYTON ST intersection,,26124
26401000,CLAYTON ST,PARNASSUS AVE,,,,PARNASSUS AVE intersection,,9714
26402000,CLAYTON ST,CARL ST,,,,CARL ST intersection,,9712
26402000,CARL ST,CLAYTON ST,,,,CLAYTON ST intersection,,8550
26403000,FREDERICK ST,CLAYTON ST,,,,CLAYTON ST intersection,,13967
26403000,CLAYTON ST,FREDERICK ST,,,,FREDERICK ST intersection,,9710
26404000,FREDERICK ST,DOWNEY ST,,,,DOWNEY ST intersection,,13965
26404000,DOWNEY ST,FREDERICK ST,,,,FREDERICK ST intersection,,11783
26405000,WALLER ST,DOWNEY ST,,,,DOWNEY ST intersection,,33782
26405000,DOWNEY ST,WALLER ST,,,,WALLER ST intersection,,11781
26406000,FREDERICK ST,BELVEDERE ST,,,,BELVEDERE ST intersection,,13969
26406000,BELVEDERE ST,FREDERICK ST,,,,FREDERICK ST intersection,,6634
26407000,WALLER ST,CLAYTON ST,,,,CLAYTON ST intersection,,33784
26407000,CLAYTON ST,WALLER ST,,,,WALLER ST intersection,,9708
26408000,WALLER ST,BELVEDERE ST,,,,BELVEDERE ST intersection,,33786
26408000,BELVEDERE ST,WALLER ST,,,,WALLER ST intersection,,6632
26409000,HAIGHT ST,CLAYTON ST,,,,CLAYTON ST intersection,,16052
26409000,CLAYTON ST,HAIGHT ST,,,,HAIGHT ST intersection,,9706
26410000,FREDERICK ST,COLE ST,,,,COLE ST intersection,,13971
26410000,COLE ST,FREDERICK ST,,,,FREDERICK ST intersection,,9968
26411000,COLE ST,BEULAH ST,,,,BEULAH ST intersection,,9966
26411000,BEULAH ST,COLE ST,,,,COLE ST intersection,,6787
26412000,HAIGHT ST,BELVEDERE ST,,,,BELVEDERE ST intersection,,16054
26412000,BELVEDERE ST,HAIGHT ST,,,,HAIGHT ST intersection,,6630
26413000,COLE ST,WALLER ST,,,,WALLER ST intersection,,9964
26413000,WALLER ST,COLE ST,,,,COLE ST intersection,,33788
26414000,HAIGHT ST,COLE ST,,,,COLE ST intersection,,16058
26414000,COLE ST,HAIGHT ST,,,,HAIGHT ST intersection,,9962
26415000,CLAYTON ST,PAGE ST,,,,PAGE ST intersection,,9704
26415000,PAGE ST,CLAYTON ST,,,,CLAYTON ST intersection,,25873
26416000,OAK ST,CLAYTON ST,,,,CLAYTON ST intersection,,24796
26416000,CLAYTON ST,OAK ST,,,,OAK ST intersection,,9702
26417000,COLE ST,HAIGHT ST,,,,HAIGHT ST intersection,,9961
26417000,HAIGHT ST,COLE ST,,,,COLE ST intersection,,16056
26418000,COLE ST,PAGE ST,,,,PAGE ST intersection,,9959
26418000,PAGE ST,COLE ST,,,,COLE ST intersection,,25875
26419000,OAK ST,COLE ST,,,,COLE ST intersection,,24798
26419000,COLE ST,OAK ST,,,,OAK ST intersection,,9957
26420000,CLAYTON ST,FELL ST,,,,FELL ST intersection,,9701
26420000,FELL ST,CLAYTON ST,,,,CLAYTON ST intersection,,13015
26421000,CLAYTON ST,HAYES ST,,,,HAYES ST intersection,,9699
26421000,HAYES ST,CLAYTON ST,,,,CLAYTON ST intersection,,16551
26422000,FELL ST,COLE ST,,,,COLE ST intersection,,13017
26422000,COLE ST,FELL ST,,,,FELL ST intersection,,9956
26423000,COLE ST,HAYES ST,,,,HAYES ST intersection,,9954
26423000,HAYES ST,COLE ST,,,,COLE ST intersection,,16553
26424000,GROVE ST,COLE ST,,,,COLE ST intersection,,15887
26424000,COLE ST,GROVE ST,,,,GROVE ST intersection,,9952
26425000,BEULAH ST,SHRADER ST,,,,SHRADER ST intersection,,6789
26425000,SHRADER ST,BEULAH ST,,,,BEULAH ST intersection,,30032
26426000,SHRADER ST,FREDERICK ST,,,,FREDERICK ST intersection,,30034
26426000,FREDERICK ST,SHRADER ST,,,,SHRADER ST intersection,,13973
26427000,FREDERICK ST,STANYAN ST,,,,STANYAN ST intersection,,13975
26427000,STANYAN ST,FREDERICK ST,,,,FREDERICK ST intersection,,30660
26428000,BEULAH ST,STANYAN ST,,,,STANYAN ST intersection,,6791
26428000,STANYAN ST,BEULAH ST,,,,BEULAH ST intersection,,30658
26429000,WALLER ST,SHRADER ST,,,,SHRADER ST intersection,,33790
26429000,SHRADER ST,WALLER ST,,,,WALLER ST intersection,,30030
26430000,HAIGHT ST,SHRADER ST,,,,SHRADER ST intersection,,16060
26430000,SHRADER ST,HAIGHT ST,,,,HAIGHT ST intersection,,30028
26431000,FREDERICK ST,WILLARD ST,,,,WILLARD ST intersection,,13977
26431000,WILLARD ST,FREDERICK ST,,,,FREDERICK ST intersection,,34457
26433000,STANYAN ST,WALLER ST,,,,WALLER ST intersection,,30656
26433000,WALLER ST,STANYAN ST,,,,STANYAN ST intersection,,33743
26434000,HAIGHT ST,STANYAN ST,,,,STANYAN ST intersection,,16062
26434000,STANYAN ST,HAIGHT ST,,,,HAIGHT ST intersection,,30654
26435000,PAGE ST,SHRADER ST,,,,SHRADER ST intersection,,25877
26435000,SHRADER ST,PAGE ST,,,,PAGE ST intersection,,30026
26436000,SHRADER ST,OAK ST,,,,OAK ST intersection,,30024
26436000,OAK ST,SHRADER ST,,,,SHRADER ST intersection,,24800
26437000,FELL ST,SHRADER ST,,,,SHRADER ST intersection,,13019
26437000,SHRADER ST,FELL ST,,,,FELL ST intersection,,30023
26438000,HAYES ST,SHRADER ST,,,,SHRADER ST intersection,,16555
26438000,SHRADER ST,HAYES ST,,,,HAYES ST intersection,,30021
26439000,SHRADER ST,GROVE ST,,,,GROVE ST intersection,,30019
26439000,GROVE ST,SHRADER ST,,,,SHRADER ST intersection,,15889
26440000,STANYAN ST,PAGE ST,,,,PAGE ST intersection,,30652
26440000,PAGE ST,STANYAN ST,,,,STANYAN ST intersection,,25879
26441000,OAK ST,OAK ACCESS RD \ STANYAN ST,,,,OAK ACCESS RD \ STANYAN ST intersection,,24802
26441000,OAK ACCESS RD,OAK ST \ STANYAN ST,,,,OAK ST \ STANYAN ST intersection,,24735
26441000,STANYAN ST,OAK ACCESS RD \ OAK ST,,,,OAK ACCESS RD \ OAK ST intersection,,30650
26443000,KEZAR DR,JOHN F KENNEDY DR,,,,JOHN F KENNEDY DR intersection,,19557
26443000,JOHN F KENNEDY DR,KEZAR DR,,,,KEZAR DR intersection,,18775
26445000,STANYAN ST,FELL ACCESS RD \ FELL ST,,,,FELL ACCESS RD \ FELL ST intersection,,30644
26445000,FELL ST,FELL ACCESS RD \ STANYAN ST,,,,FELL ACCESS RD \ STANYAN ST intersection,,13021
26445000,FELL ACCESS RD,FELL ST \ STANYAN ST,,,,FELL ST \ STANYAN ST intersection,,12976
26446000,STANYAN ST,HAYES ST,,,,HAYES ST intersection,,30642
26446000,HAYES ST,STANYAN ST,,,,STANYAN ST intersection,,16557
26448000,HEMWAY TER,ASHBURY ST \ FULTON ST,,,,ASHBURY ST \ FULTON ST intersection,,16665
26448000,FULTON ST,ASHBURY ST \ HEMWAY TER,,,,ASHBURY ST \ HEMWAY TER intersection,,14100
26448000,ASHBURY ST,FULTON ST \ HEMWAY TER,,,,FULTON ST \ HEMWAY TER intersection,,5464
26451000,CLAYTON ST,FULTON ST,,,,FULTON ST intersection,,9695
26451000,FULTON ST,CLAYTON ST,,,,CLAYTON ST intersection,,14104
26452000,FULTON ST,LOYOLA TER,,,,LOYOLA TER intersection,,14102
26452000,LOYOLA TER,FULTON ST,,,,FULTON ST intersection,,21412
26454000,CLAYTON ST,GROVE ST,,,,GROVE ST intersection,,9697
26454000,GROVE ST,CLAYTON ST,,,,CLAYTON ST intersection,,15885
26455000,TAMALPAIS TER,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,31368
26455000,GOLDEN GATE AVE,TAMALPAIS TER,,,,TAMALPAIS TER intersection,,15185
26456000,GOLDEN GATE AVE,ROSELYN TER,,,,ROSELYN TER intersection,,15187
26456000,ROSELYN TER,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,28338
26458000,GOLDEN GATE AVE,CHABOT TER,,,,CHABOT TER intersection,,15191
26458000,CHABOT TER,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,9094
26459000,GOLDEN GATE AVE,KITTREDGE TER,,,,KITTREDGE TER intersection,,15189
26459000,KITTREDGE TER,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,19752
26460000,TURK BLVD,TAMALPAIS TER,,,,TAMALPAIS TER intersection,,32222
26460000,TAMALPAIS TER,TURK BLVD,,,,TURK BLVD intersection,,31366
26463000,WOOD ST,ANZA ST,,,,ANZA ST intersection,,34617
26463000,ANZA ST,WOOD ST,,,,WOOD ST intersection,,5037
26464000,TURK BLVD,ROSELYN TER,,,,ROSELYN TER intersection,,32224
26464000,ROSELYN TER,TURK BLVD,,,,TURK BLVD intersection,,28336
26465000,KITTREDGE TER,TURK BLVD,,,,TURK BLVD intersection,,19750
26465000,TURK BLVD,KITTREDGE TER,,,,KITTREDGE TER intersection,,32226
26466000,CHABOT TER,TURK BLVD,,,,TURK BLVD intersection,,9092
26466000,TURK BLVD,CHABOT TER,,,,CHABOT TER intersection,,32228
26467000,ANZA ST,COLLINS ST,,,,COLLINS ST intersection,,5041
26467000,COLLINS ST,ANZA ST,,,,ANZA ST intersection,,10066
26468000,ANZA ST,BLAKE ST,,,,BLAKE ST intersection,,5043
26468000,BLAKE ST,ANZA ST,,,,ANZA ST intersection,,6847
26469000,COLE ST,FULTON ST,,,,FULTON ST intersection,,9950
26469000,FULTON ST,COLE ST,,,,COLE ST intersection,,14106
26470000,SHRADER ST,FULTON ST,,,,FULTON ST intersection,,30017
26470000,FULTON ST,SHRADER ST,,,,SHRADER ST intersection,,14110
26471000,PARKER AVE,FULTON ST,,,,FULTON ST intersection,,26113
26471000,FULTON ST,PARKER AVE,,,,PARKER AVE intersection,,14108
26472000,MCALLISTER ST,PARKER AVE,,,,PARKER AVE intersection,,22602
26472000,PARKER AVE,MCALLISTER ST,,,,MCALLISTER ST intersection,,26111
26473000,PARKER AVE,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,26109
26473000,GOLDEN GATE AVE,PARKER AVE,,,,PARKER AVE intersection,,15195
26474000,TEMESCAL TER,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,31608
26474000,GOLDEN GATE AVE,TEMESCAL TER,,,,TEMESCAL TER intersection,,15193
26475000,FULTON ST,STANYAN ST,,,,STANYAN ST intersection,,14112
26475000,STANYAN ST,FULTON ST,,,,FULTON ST intersection,,30640
26476000,STANYAN ST,MCALLISTER ST,,,,MCALLISTER ST intersection,,30638
26476000,MCALLISTER ST,STANYAN ST,,,,STANYAN ST intersection,,22604
26477000,STANYAN ST,MCALLISTER ST,,,,MCALLISTER ST intersection,,30636
26477000,MCALLISTER ST,STANYAN ST,,,,STANYAN ST intersection,,22605
26478000,STANYAN ST,PARAMOUNT TER,,,,PARAMOUNT TER intersection,,30634
26478000,PARAMOUNT TER,STANYAN ST,,,,STANYAN ST intersection,,26019
26479000,STANYAN ST,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,30632
26479000,GOLDEN GATE AVE,STANYAN ST,,,,STANYAN ST intersection,,15196
26480000,TURK BLVD,TEMESCAL TER,,,,TEMESCAL TER intersection,,32230
26480000,TEMESCAL TER,TURK BLVD,,,,TURK BLVD intersection,,31606
26481000,TURK BLVD,PARKER AVE,,,,PARKER AVE intersection,,32232
26481000,PARKER AVE,TURK BLVD,,,,TURK BLVD intersection,,26107
26482000,ANZA ST,COOK ST,,,,COOK ST intersection,,5045
26482000,COOK ST,ANZA ST,,,,ANZA ST intersection,,10262
26483000,ANZA ST,SPRUCE ST,,,,SPRUCE ST intersection,,5047
26483000,SPRUCE ST,ANZA ST,,,,ANZA ST intersection,,30598
26484000,TURK BLVD,BEAUMONT AVE,,,,BEAUMONT AVE intersection,,32234
26484000,BEAUMONT AVE,TURK BLVD,,,,TURK BLVD intersection,,6542
26485000,TURK BLVD,ROSSI AVE,,,,ROSSI AVE intersection,,32238
26485000,ROSSI AVE,TURK BLVD,,,,TURK BLVD intersection,,28369
26486000,STANYAN BLVD,STANYAN ST \ TURK BLVD,,,,STANYAN ST \ TURK BLVD intersection,,30629
26486000,STANYAN ST,STANYAN BLVD \ TURK BLVD,,,,STANYAN BLVD \ TURK BLVD intersection,,30630
26486000,TURK BLVD,STANYAN BLVD \ STANYAN ST,,,,STANYAN BLVD \ STANYAN ST intersection,,32236
26487000,ANZA ST,BEAUMONT AVE,,,,BEAUMONT AVE intersection,,5051
26487000,BEAUMONT AVE,ANZA ST,,,,ANZA ST intersection,,6538
26488000,ANZA ST,PARKER AVE,,,,PARKER AVE intersection,,5049
26488000,PARKER AVE,ANZA ST,,,,ANZA ST intersection,,26103
26489000,ELLIS ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,12335
26489000,FRANKLIN ST,ELLIS ST,,,,ELLIS ST intersection,,13886
26490000,EDDY ST,GOUGH ST,,,,GOUGH ST intersection,,12055
26490000,GOUGH ST,EDDY ST,,,,EDDY ST intersection,,15302
26492000,GOUGH ST,ELLIS ST,,,,ELLIS ST intersection,,15304
26492000,ELLIS ST,GOUGH ST,,,,GOUGH ST intersection,,12337
26494000,GEARY BLVD,GOUGH ST \ PETER YORKE WAY \ STARR KING WAY,,,,GOUGH ST \ PETER YORKE WAY \ STARR KING WAY intersection,,14491
26494000,PETER YORKE WAY,GEARY BLVD \ GOUGH ST \ STARR KING WAY,,,,GEARY BLVD \ GOUGH ST \ STARR KING WAY intersection,,26384
26494000,STARR KING WAY,GEARY BLVD \ GOUGH ST \ PETER YORKE WAY,,,,GEARY BLVD \ GOUGH ST \ PETER YORKE WAY intersection,,30697
26494000,GOUGH ST,GEARY BLVD \ PETER YORKE WAY \ STARR KING WAY,,,,GEARY BLVD \ PETER YORKE WAY \ STARR KING WAY intersection,,15306
26496000,CLEARY CT,GEARY BLVD,,,,GEARY BLVD intersection,,9745
26496000,GEARY BLVD,CLEARY CT,,,,CLEARY CT intersection,,14493
26497000,FERN ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,13078
26497000,FRANKLIN ST,FERN ST,,,,FERN ST intersection,,13902
26498000,FRANKLIN ST,BUSH ST,,,,BUSH ST intersection,,13904
26498000,BUSH ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,7967
26499000,FRANKLIN ST,AUSTIN ST,,,,AUSTIN ST intersection,,13906
26499000,AUSTIN ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,5578
26500000,CALIFORNIA ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,8212
26500000,FRANKLIN ST,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,13910
26501000,POST ST,GOUGH ST,,,,GOUGH ST intersection,,27038
26501000,GOUGH ST,POST ST,,,,POST ST intersection,,15308
26502000,GOUGH ST,SUTTER ST,,,,SUTTER ST intersection,,15310
26502000,SUTTER ST,GOUGH ST,,,,GOUGH ST intersection,,31277
26503000,GOUGH ST,FERN ST,,,,FERN ST intersection,,15312
26503000,FERN ST,GOUGH ST,,,,GOUGH ST intersection,,13080
26504000,BUSH ST,GOUGH ST,,,,GOUGH ST intersection,,7969
26504000,GOUGH ST,BUSH ST,,,,BUSH ST intersection,,15314
26505000,LAGUNA ST,POST ST,,,,POST ST intersection,,19960
26505000,POST ST,LAGUNA ST,,,,LAGUNA ST intersection,,27040
26506000,GOUGH ST,AUSTIN ST,,,,AUSTIN ST intersection,,15316
26506000,AUSTIN ST,GOUGH ST,,,,GOUGH ST intersection,,5580
26507000,GOUGH ST,PINE ST,,,,PINE ST intersection,,15318
26507000,PINE ST,GOUGH ST,,,,GOUGH ST intersection,,26599
26508000,GOUGH ST,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,15320
26508000,CALIFORNIA ST,GOUGH ST,,,,GOUGH ST intersection,,8214
26509000,EDDY ST,BUCHANAN ST,,,,BUCHANAN ST intersection,,12059
26509000,BUCHANAN ST,EDDY ST,,,,EDDY ST intersection,,7710
26511000,WILLOW ST,LAGUNA ST,,,,LAGUNA ST intersection,,34516
26511000,LAGUNA ST,WILLOW ST,,,,WILLOW ST intersection,,19952
26512000,LAGUNA ST,ELLIS ST,,,,ELLIS ST intersection,,19954
26512000,ELLIS ST,LAGUNA ST,,,,LAGUNA ST intersection,,12339
26513000,CLEARY CT,GALILEE LN \ LAGUNA ST,,,,GALILEE LN \ LAGUNA ST intersection,,9747
26513000,GALILEE LN,CLEARY CT \ LAGUNA ST,,,,CLEARY CT \ LAGUNA ST intersection,,14292
26513000,LAGUNA ST,CLEARY CT \ GALILEE LN,,,,CLEARY CT \ GALILEE LN intersection,,19956
26514000,GEARY BLVD,LAGUNA ST,,,,LAGUNA ST intersection,,14495
26514000,LAGUNA ST,GEARY BLVD,,,,GEARY BLVD intersection,,19958
26517000,ELLIS ST,HOLLIS ST,,,,HOLLIS ST intersection,,12346
26517000,HOLLIS ST,ELLIS ST,,,,ELLIS ST intersection,,16873
26518000,OFARRELL ST,HOLLIS ST,,,,HOLLIS ST intersection,,25172
26518000,HOLLIS ST,OFARRELL ST,,,,OFARRELL ST intersection,,16875
26519000,LAGUNA ST,SUTTER ST,,,,SUTTER ST intersection,,19964
26519000,SUTTER ST,LAGUNA ST,,,,LAGUNA ST intersection,,31281
26520000,OCTAVIA ST,SUTTER ST,,,,SUTTER ST intersection,,25101
26520000,SUTTER ST,OCTAVIA ST,,,,OCTAVIA ST intersection,,31279
26521000,OCTAVIA ST,BUSH ST,,,,BUSH ST intersection,,25103
26521000,BUSH ST,OCTAVIA ST,,,,OCTAVIA ST intersection,,7971
26522000,BUCHANAN ST,POST ST,,,,POST ST intersection,,7713
26522000,POST ST,BUCHANAN ST,,,,BUCHANAN ST intersection,,27042
26523000,HEMLOCK ST,LAGUNA ST,,,,LAGUNA ST intersection,,16662
26523000,LAGUNA ST,HEMLOCK ST,,,,HEMLOCK ST intersection,,19962
26524000,BUCHANAN ST,SUTTER ST,,,,SUTTER ST intersection,,7715
26524000,SUTTER ST,BUCHANAN ST,,,,BUCHANAN ST intersection,,31283
26525000,BUSH ST,LAGUNA ST,,,,LAGUNA ST intersection,,7973
26525000,LAGUNA ST,BUSH ST,,,,BUSH ST intersection,,19966
26526000,AUSTIN ST,OCTAVIA ST,,,,OCTAVIA ST intersection,,5582
26526000,OCTAVIA ST,AUSTIN ST,,,,AUSTIN ST intersection,,25105
26527000,PINE ST,LAGUNA ST,,,,LAGUNA ST intersection,,26603
26527000,LAGUNA ST,PINE ST,,,,PINE ST intersection,,19968
26528000,OCTAVIA ST,PINE ST,,,,PINE ST intersection,,25107
26528000,PINE ST,OCTAVIA ST,,,,OCTAVIA ST intersection,,26601
26529000,CALIFORNIA ST,OCTAVIA ST,,,,OCTAVIA ST intersection,,8216
26529000,OCTAVIA ST,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,25109
26531000,BUSH ST,BUCHANAN ST,,,,BUCHANAN ST intersection,,7975
26531000,BUCHANAN ST,BUSH ST,,,,BUSH ST intersection,,7717
26532000,BUCHANAN ST,PINE ST,,,,PINE ST intersection,,7719
26532000,PINE ST,BUCHANAN ST,,,,BUCHANAN ST intersection,,26605
26533000,LAGUNA ST,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,19970
26533000,CALIFORNIA ST,LAGUNA ST,,,,LAGUNA ST intersection,,8218
26534000,BUCHANAN ST,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,7721
26534000,CALIFORNIA ST,BUCHANAN ST,,,,BUCHANAN ST intersection,,8220
26535000,VAN NESS AVE,CLAY ST,,,,CLAY ST intersection,,33239
26535000,CLAY ST,VAN NESS AVE,,,,VAN NESS AVE intersection,,9652
26536000,SACRAMENTO ST,VAN NESS AVE,,,,VAN NESS AVE intersection,,28563
26536000,VAN NESS AVE,SACRAMENTO ST,,,,SACRAMENTO ST intersection,,33236
26537000,FRANKLIN ST,SACRAMENTO ST,,,,SACRAMENTO ST intersection,,13912
26537000,SACRAMENTO ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,28565
26538000,FRANKLIN ST,CLAY ST,,,,CLAY ST intersection,,13914
26538000,CLAY ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,9654
26539000,FRANKLIN ST,WASHINGTON ST,,,,WASHINGTON ST intersection,,13916
26539000,WASHINGTON ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,33930
26540000,WASHINGTON ST,VAN NESS AVE,,,,VAN NESS AVE intersection,,33928
26540000,VAN NESS AVE,WASHINGTON ST,,,,WASHINGTON ST intersection,,33242
26541000,VAN NESS AVE,JACKSON ST,,,,JACKSON ST intersection,,33245
26541000,JACKSON ST,VAN NESS AVE,,,,VAN NESS AVE intersection,,18446
26542000,GOUGH ST,SACRAMENTO ST,,,,SACRAMENTO ST intersection,,15322
26542000,SACRAMENTO ST,GOUGH ST,,,,GOUGH ST intersection,,28567
26543000,GOUGH ST,CLAY ST,,,,CLAY ST intersection,,15324
26543000,CLAY ST,GOUGH ST,,,,GOUGH ST intersection,,9656
26544000,JACKSON ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,18448
26544000,FRANKLIN ST,JACKSON ST,,,,JACKSON ST intersection,,13918
26545000,WASHINGTON ST,GOUGH ST,,,,GOUGH ST intersection,,33932
26545000,GOUGH ST,WASHINGTON ST,,,,WASHINGTON ST intersection,,15326
26546000,JACKSON ST,GOUGH ST,,,,GOUGH ST intersection,,18450
26546000,GOUGH ST,JACKSON ST,,,,JACKSON ST intersection,,15328
26547000,VAN NESS AVE,BROADWAY,,,,BROADWAY intersection,,33251
26547000,BROADWAY,VAN NESS AVE,,,,VAN NESS AVE intersection,,7304
26548000,VAN NESS AVE,PACIFIC AVE,,,,PACIFIC AVE intersection,,33248
26548000,PACIFIC AVE,VAN NESS AVE,,,,VAN NESS AVE intersection,,25796
26549000,PACIFIC AVE,FRANKLIN ST,,,,FRANKLIN ST intersection,,25798
26549000,FRANKLIN ST,PACIFIC AVE,,,,PACIFIC AVE intersection,,13920
26551000,GREEN ST,VAN NESS AVE,,,,VAN NESS AVE intersection,,15656
26551000,VAN NESS AVE,GREEN ST,,,,GREEN ST intersection,,33257
26552000,VAN NESS AVE,VALLEJO ST,,,,VALLEJO ST intersection,,33254
26552000,VALLEJO ST,VAN NESS AVE,,,,VAN NESS AVE intersection,,33071
26553000,VALLEJO ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,33073
26553000,FRANKLIN ST,VALLEJO ST,,,,VALLEJO ST intersection,,13924
26554000,FRANKLIN ST,GREEN ST,,,,GREEN ST intersection,,13926
26554000,GREEN ST,FRANKLIN ST,,,,FRANKLIN ST intersection,,15658
26555000,BROADWAY,FRANKLIN ST,,,,FRANKLIN ST intersection,,7306
26555000,FRANKLIN ST,BROADWAY,,,,BROADWAY intersection,,13922
26556000,SACRAMENTO ST,LAGUNA ST,,,,LAGUNA ST intersection,,28571
26556000,LAGUNA ST,SACRAMENTO ST,,,,SACRAMENTO ST intersection,,19972
26557000,OCTAVIA ST,SACRAMENTO ST,,,,SACRAMENTO ST intersection,,25111
