CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
21503000,NAGLEE AVE,ELLINGTON AVE,,,,ELLINGTON AVE intersection,,24116
21505000,MISSION ST,FOOTE AVE,,,,FOOTE AVE intersection,,23375
21505000,FOOTE AVE,MISSION ST,,,,MISSION ST intersection,,13627
21506000,MORSE ST,FLORENTINE AVE,,,,FLORENTINE AVE intersection,,23900
21506000,FLORENTINE AVE,MORSE ST,,,,MORSE ST intersection,,13384
21507000,FLORENTINE AVE,MISSION ST,,,,MISSION ST intersection,,13381
21507000,MISSION ST,FLORENTINE AVE,,,,FLORENTINE AVE intersection,,23371
21508000,FLORENTINE AVE,MORSE ST,,,,MORSE ST intersection,,13383
21508000,MORSE ST,FLORENTINE AVE,,,,FLORENTINE AVE intersection,,23902
21509000,ELLINGTON AVE,OTTAWA AVE,,,,OTTAWA AVE intersection,,12289
21509000,OTTAWA AVE,ELLINGTON AVE,,,,ELLINGTON AVE intersection,,25578
21510000,MISSION ST,OTTAWA AVE,,,,OTTAWA AVE intersection,,23369
21510000,OTTAWA AVE,MISSION ST,,,,MISSION ST intersection,,25576
21511000,FOOTE AVE,ELLINGTON AVE,,,,ELLINGTON AVE intersection,,13629
21511000,ELLINGTON AVE,FOOTE AVE,,,,FOOTE AVE intersection,,12293
21512000,DEL MONTE ST,MOUNT VERNON AVE,,,,MOUNT VERNON AVE intersection,,11031
21512000,MOUNT VERNON AVE,DEL MONTE ST,,,,DEL MONTE ST intersection,,23973
21513000,ELLINGTON AVE,MOUNT VERNON AVE,,,,MOUNT VERNON AVE intersection,,12287
21513000,MOUNT VERNON AVE,ELLINGTON AVE,,,,ELLINGTON AVE intersection,,23971
21515000,DEL MONTE ST,OTTAWA AVE,,,,OTTAWA AVE intersection,,11033
21515000,OTTAWA AVE,DEL MONTE ST,,,,DEL MONTE ST intersection,,25580
21516000,MOUNT VERNON AVE,DEL MONTE ST,,,,DEL MONTE ST intersection,,23975
21516000,DEL MONTE ST,MOUNT VERNON AVE,,,,MOUNT VERNON AVE intersection,,11030
21517000,MOUNT VERNON AVE,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,23977
21517000,ALEMANY BLVD,MOUNT VERNON AVE,,,,MOUNT VERNON AVE intersection,,4665
21519000,SALA TER,ELLINGTON AVE,,,,ELLINGTON AVE intersection,,28726
21519000,ELLINGTON AVE,SALA TER,,,,SALA TER intersection,,12291
21520000,ELLINGTON AVE,DICHIERA CT,,,,DICHIERA CT intersection,,12295
21520000,DICHIERA CT,ELLINGTON AVE,,,,ELLINGTON AVE intersection,,11328
21522000,ALEMANY BLVD,OTTAWA AVE,,,,OTTAWA AVE intersection,,4668
21522000,OTTAWA AVE,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,25584
21523000,OTTAWA AVE,HURON AVE,,,,HURON AVE intersection,,25582
21523000,HURON AVE,OTTAWA AVE,,,,OTTAWA AVE intersection,,17218
21524000,HURON AVE,SALA TER,,,,SALA TER intersection,,17220
21524000,SALA TER,HURON AVE,,,,HURON AVE intersection,,28728
21525000,FOOTE AVE,HURON AVE,,,,HURON AVE intersection,,13631
21525000,HURON AVE,FOOTE AVE,,,,FOOTE AVE intersection,,17222
21526000,FOOTE AVE,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,13633
21526000,ALEMANY BLVD,FOOTE AVE,,,,FOOTE AVE intersection,,4671
21527000,ROME ST,MOUNT VERNON AVE,,,,MOUNT VERNON AVE intersection,,28271
21527000,MOUNT VERNON AVE,ROME ST,,,,ROME ST intersection,,23979
21528000,OTTAWA AVE,ROME ST,,,,ROME ST intersection,,25586
21528000,ROME ST,OTTAWA AVE,,,,OTTAWA AVE intersection,,28273
21529000,CAYUGA AVE,OTTAWA AVE,,,,OTTAWA AVE intersection,,8906
21529000,OTTAWA AVE,CAYUGA AVE,,,,CAYUGA AVE intersection,,25588
21531000,OLIVER ST,BRUNSWICK ST,,,,BRUNSWICK ST intersection,,25238
21531000,BRUNSWICK ST,OLIVER ST,,,,OLIVER ST intersection,,7532
21537000,WHITTIER ST,CRESCIO CT,,,,CRESCIO CT intersection,,34413
21537000,CRESCIO CT,WHITTIER ST,,,,WHITTIER ST intersection,,10579
21538000,WHITTIER ST,CASSANDRA CT,,,,CASSANDRA CT intersection,,34411
21538000,CASSANDRA CT,WHITTIER ST,,,,WHITTIER ST intersection,,8728
21539000,WHIPPLE AVE,ELLINGTON AVE,,,,ELLINGTON AVE intersection,,34348
21539000,ELLINGTON AVE,WHIPPLE AVE,,,,WHIPPLE AVE intersection,,12299
21540000,WHIPPLE AVE,MISSION ST,,,,MISSION ST intersection,,34346
21540000,MISSION ST,WHIPPLE AVE,,,,WHIPPLE AVE intersection,,23381
21541000,WHITTIER ST,MISSION ST \ MORSE ST,,,,MISSION ST \ MORSE ST intersection,,34409
21541000,MISSION ST,MORSE ST \ WHITTIER ST,,,,MORSE ST \ WHITTIER ST intersection,,23383
21541000,MORSE ST,MISSION ST \ WHITTIER ST,,,,MISSION ST \ WHITTIER ST intersection,,23908
21542000,HURON AVE,WHIPPLE AVE,,,,WHIPPLE AVE intersection,,17230
21542000,WHIPPLE AVE,HURON AVE,,,,HURON AVE intersection,,34352
21543000,RAE AVE,WHIPPLE AVE,,,,WHIPPLE AVE intersection,,27622
